PIDN,Ca,P,pH,SOC,Sand
6nBgCvWu,-0.44103858,-0.07645896,-0.26565745,-0.537941,0.44890726
6ro5mqg6,-0.3542877,-0.09518583,-0.5334407,-0.3327759,0.9139565
6sGqObX4,-0.4892904,-0.25913233,-0.53776246,-0.05621715,-0.6956241
6uEGy0n4,1.6467867,0.97629356,1.8075222,-0.18704683,-0.69120157
7BZ4LxP8,-0.17085864,-0.19852138,0.06625189,0.21804799,-1.0655642
7CmigXKi,-0.4074638,0.090325646,-0.4269971,-0.56802815,0.67885166
7Ga0LpfR,0.65325236,1.9936326,0.2836277,1.539402,-0.74444574
7PQsFvsG,-0.4432081,-0.23782973,-1.2290252,0.5312298,-0.37638882
7aF7nnwn,-0.37266922,-0.2592907,0.16101477,-0.78721976,1.0153267
7asGzfX9,-0.22252202,-0.2605885,-0.12674671,-0.21794215,-0.19722228
7cg7C92o,-0.03364128,0.14248282,0.37429258,0.47610533,-0.03958274
7eOxTpsB,-0.44674665,0.121939346,-0.121978536,-0.55384815,0.6702713
7ey0v7ma,-0.4828811,0.043926157,-1.0454061,0.4136514,-0.7252874
7gocyrYl,-0.34795234,-0.17010202,-0.71343815,0.46377155,-0.40839946
7gqR3GoA,-0.40208346,0.04902065,-0.24792837,-0.49258894,0.07405735
7og7aUXB,-0.2731972,-0.32219166,0.04932584,-0.11655217,-0.39860559
7onRfa8F,-0.29991683,-0.10914567,0.786432,-0.39719656,0.84103835
7umkNuxM,-0.27187568,-0.2298981,-0.3221232,0.3055898,-0.4503019
7vPr9ExD,0.00967567,-0.089380905,0.19391397,-0.024721451,-0.53690565
7zNjpCzu,-0.3981803,-0.087160446,-0.23938233,0.117216565,-0.8285067
7ztsQNj3,-0.4411031,-0.2592957,-0.2937036,0.10410498,-0.5657553
86gppwMI,-0.34107536,0.1557784,-0.23192,0.18549201,0.4907006
88thAGdL,-0.3759715,-0.05562847,-0.024466932,-0.2985314,-0.15048315
8GhU8STP,0.5028787,0.12500466,1.6288193,0.046171173,-0.6310557
8NlzDcWe,-0.34907272,-0.09315879,-0.04263068,-0.6722295,0.42210126
8QAejdLW,-0.12761936,-0.30973002,0.3956447,0.0316247,-0.49161804
8RDeFxWM,-0.43310183,0.09333895,-0.48922074,-0.62942845,0.90343714
8UXP2NBS,-0.435588,-0.14567001,-0.7327384,-0.4973829,0.19710883
8ZoV3KGT,-0.15271023,-0.3478334,0.41245157,-0.46460247,-0.6584489
8ajs2uG8,-0.4075439,-0.12821196,-0.96049523,-0.019786868,-0.66351664
8bXnz62p,-0.14431114,0.34939197,0.24842311,0.19521987,0.2350043
8nO1O1LG,1.3340545,0.6422684,1.8917828,1.6314235,-0.72768956
8xE1p8g8,-0.41661948,0.11485691,-0.6761062,-0.40233034,-0.23088762
8yMDVMRM,-0.444955,-0.27174503,-1.295574,-0.17128567,-0.083289824
98R5VaPi,-0.1436282,0.68465066,1.9034419,-0.44346732,0.45526117
9DcTz2Ua,2.1602058,-0.13794519,2.0637317,0.13054152,-0.8173504
9G7nfUrK,-0.23630607,0.020776859,-0.087151796,-0.43308145,0.5041089
9O6GZ1HT,-0.01344269,1.0883102,1.1822618,-0.7536917,-0.58794034
9S7fCoAM,-0.1996519,0.032881677,0.06428832,-0.21241727,0.48621538
9iQwmFJR,-0.3121822,-0.29109195,-0.08310159,-0.4229815,0.34537467
A3Mt6SAQ,0.4746208,0.777853,1.4638383,-0.70733166,0.301575
AJIsQIcV,-0.28514272,-0.27234334,0.17616908,-0.5486101,-0.027956229
AMHKXMh8,1.5678114,0.9620775,1.7732782,0.31860733,-0.56669176
ASwA2J4E,-0.39824873,0.02510158,-0.1774023,-0.49011904,0.9814108
AaFvEoHq,-0.38334802,0.16697507,-0.2751099,-0.6220615,0.37961867
AiIPD6hX,-0.23857489,-0.23315035,-0.24670243,0.3686703,-0.46148333
AsIURvJS,-0.1906521,-0.3674047,-0.24642661,1.1887617,-0.92910796
AsvgbJ0C,-0.3458489,-0.09067714,-1.0913509,0.6019575,0.23458827
AxEhbkCM,-0.48224634,0.2383769,-0.7664043,-0.49528104,-0.7179866
B7VPkIpx,-0.30300495,-0.23865633,0.89485246,-0.62618285,0.20095192
BBwHqHiH,-0.0980745,-0.21167988,0.38214236,-0.17052951,-0.6087484
BMyps8hr,-0.27399442,-0.35313326,-0.18367791,0.15127788,-1.0980899
BUHS4dQw,0.04391116,0.42920327,-0.223322,2.6522517,-0.8510254
BZB3EYWQ,-0.4215058,-0.013647482,-0.4026961,-0.39258516,0.82481086
C5UPCZcL,2.238837,0.06240555,1.462265,1.137605,-0.7256542
C5gIfQbJ,-0.48437482,0.63712066,-1.2876396,0.97031534,-0.6398029
CDRuu4Pn,-0.41810933,-0.29578567,0.07792433,-0.7288811,1.2742674
CQhTYkqE,0.20212346,-0.16546254,0.35420758,0.30009717,-0.9294658
CSEobMXv,-0.4558322,1.2227267,-0.955083,0.78406894,-0.6580014
CYMQE4x0,0.17306623,-0.0075956956,0.86377674,-0.40142965,0.19797426
ChQdtl4J,-0.41116193,0.021159539,0.030178018,-0.109370835,0.29469013
ChnD1nrN,-0.3503754,-0.43704158,0.36597162,-0.68001926,-0.13320944
CvtbbIcq,0.09459879,-0.10384975,1.5676594,-0.11361266,-0.361595
Cxk06b77,-0.06615062,0.38231942,0.27189264,0.124714755,-0.08023775
D3QD3ZEJ,-0.3242298,-0.23963326,-0.4787194,0.0493666,0.19390266
D8J5C6lA,0.4677049,0.1157064,1.2535242,0.061141357,-0.6482445
DCeQwYfT,-0.18037915,-0.20814577,-0.0049653836,-0.19943285,-0.5129362
DDEftkx3,-0.4697669,-0.10350877,-0.57194585,-0.64757824,0.88240945
DEwCfeDW,-0.23646116,0.19700941,0.14796202,-0.27326134,0.10319584
DMkIV4oL,-0.4187492,-0.2234276,-0.30935016,-0.6255452,0.7423197
DnzGfbxS,-0.0947831,-0.06395966,0.34641042,0.74608624,-0.99355555
DoZxo6f6,-0.42649215,-0.19207487,-0.18034211,-0.5463452,0.44705594
DvhBPGIk,-0.37357718,-0.28524488,-0.4406368,0.073550574,-0.2140252
Dx7GoUcT,-0.43865043,-0.17688447,-0.26403946,-0.5627854,0.44970468
E5hIjohO,0.14718919,-0.21021739,0.19934087,0.67430246,-0.9560589
E6x4XGHt,-0.37861985,-0.09369762,0.4214297,-0.63792515,0.9232003
EDEpAzh1,-0.41002944,-0.18833044,-0.5604946,-0.3320393,-0.35071743
ETGudkQt,-0.35875034,-0.10074202,0.44744524,-0.5764979,0.16225496
EUleKrLJ,1.3475913,0.016516682,2.0925176,0.8502825,-0.42795044
Ehw2Jz6s,-0.2844446,-0.17074797,-0.53876096,0.018595837,-0.47384
EjqzC4zH,-0.23394293,-0.257712,0.74937904,-0.7587806,0.09704225
EkMZO3Qj,-0.45716876,0.07530361,-0.03339266,-0.10279712,0.5233438
EnoNXWvU,-0.043997407,1.1903344,1.1776354,-0.6768557,-0.23429035
Epv8ANwr,-0.25619352,-0.19591141,-0.36623013,0.34485018,0.09532844
Etro9j0B,0.02850889,0.91215354,0.27878296,0.28779012,-0.5024516
F3MIZj76,-0.47583884,-0.17417778,-0.9882292,-0.17135647,-0.25154722
FB8tU00K,-0.46558392,-0.3029107,-1.0918925,0.2846021,-0.28553662
FLhxBGMK,1.9772245,0.23654875,0.84693134,0.15824315,-0.36847606
FRreR8ka,-0.37279278,0.43975028,0.061713327,0.05529562,0.2080994
FXne4oAV,0.2786653,0.6825319,0.39457062,-0.029679991,-0.4844668
FaW764jk,-0.16886583,0.08867475,0.36727932,-0.105914965,-0.020641036
FeAbMXly,-0.4445088,-0.23294596,-0.27439582,-0.64732945,0.93502563
FeudaFXn,1.1879786,0.6311629,1.4621955,0.0081887245,-0.7911156
FldUmFeM,0.5021448,0.1769118,1.9272848,-0.5280614,-0.19934916
Fnv5tfAm,-0.46528196,-0.20231172,-0.579682,0.008217908,-0.38593087
FvrAd3Or,-0.1903368,-0.04661578,0.92492115,-0.6149185,-0.16399163
G48zHffi,-0.019011404,0.34178644,1.1095859,-0.5744454,0.007773256
G76zCv5N,-0.39631698,-0.34714824,-0.3026367,-0.56866384,0.22595012
G7JGUdNf,0.0011680163,-0.23192894,0.252424,0.024072986,-0.83118445
GCo6MONx,0.91507787,0.049552564,1.5498601,0.88126886,-0.7998506
GE0vbpVQ,-0.09573026,-0.22493418,0.357346,-0.4609068,0.18994865
GN0DfOqt,-0.32699394,-0.15857372,0.39860782,-0.43849438,0.12781513
GNsTAb1v,-0.2747981,-0.13284028,-0.13301212,0.15946065,-0.6888456
GPwmO21z,-0.31730133,-0.23703626,-0.75401044,0.2570357,-0.20949829
GQYpfLoh,0.15811615,0.8370547,0.13335629,0.53243273,-0.59557885
GR9knT8n,-0.49482384,-0.18297988,-1.2905347,0.7707278,-0.27833712
GXtFFbZy,-0.35371995,-0.06448577,-0.15457055,-0.35067892,0.15530261
GYvzvvFD,-0.4355302,-0.13912413,-0.50496197,0.07461054,-0.025134638
GemPjTJ9,-0.34645075,-0.06417073,-0.22612925,0.63599014,-0.24706978
GkLYRm1K,1.7368414,2.0495975,1.9607608,-0.44385004,-0.70877445
GmlqP8eI,-0.4877317,0.09338681,-1.1247158,-0.45500103,-0.23259231
GqkIrOvf,-0.32981032,-0.12729977,-0.41441002,0.704772,-0.6199584
H0fsegPi,-0.41317815,0.057053335,-0.06800532,-0.571796,0.24295269
H4dHpJjU,1.2396617,-0.011443278,1.6849394,1.1965672,-0.9009938
H5QwJCuU,1.3455585,0.9157305,2.094503,0.31294736,-0.64339817
H5uwmSZ0,-0.4584497,-0.042839717,-0.57563436,-0.29624197,0.42156062
H8MtbVoL,-0.23935814,-0.19229329,0.10004288,-0.31606656,-0.52314126
H9JrUYnp,-0.3521068,0.5577785,0.16721402,0.10057993,0.24109143
HHYmmHVk,-0.37114847,-0.16941917,0.54153234,-0.7660991,1.3104807
HJ5U4uqL,-0.49303117,-0.30864546,-1.3396428,-0.010911281,-0.06672181
HNQxYc4w,-0.39698088,-0.2744385,-0.67375374,-0.59499365,-0.14289945
HQYhKHZ8,-0.46009675,0.106732145,-1.1053501,-0.33583692,-0.5986817
HSCMx0MC,-0.47367483,-0.15087909,-0.41281855,-0.54922307,0.5366878
HXYuE0fx,1.931781,0.10598753,1.6936419,0.54260665,-0.7406858
HdKcxEWr,0.004763195,0.2570837,0.29127878,0.52976555,-0.3969402
HecW1iCC,-0.43003675,-0.10413214,-0.45541206,-0.27188528,-0.4222421
HpbKB8rv,-0.4447807,-0.14131907,-1.037494,1.3398384,-0.7084669
HrkoYjCg,-0.30266216,1.7432877,-0.6586904,0.6708743,-0.72987765
I5P2uquT,-0.22333065,-0.10351632,-0.03783843,-0.36348104,-0.14797506
I94qkDM7,-0.3992676,-0.06676895,-0.27429846,0.075966746,0.12616761
I9sQbtt8,-0.2940954,-0.17217994,-1.1257432,1.7462653,-0.66283214
IFxgw6ZX,-0.32870108,-0.19687596,-0.47139183,-0.18591723,-0.52575386
IPPPSyoU,-0.5095192,-0.2512497,-1.1918902,0.039253857,-0.44285786
IQOYQubU,1.1381376,-0.05597379,1.8906827,0.5963518,-0.90225077
IYNE2SxU,-0.38890168,-0.23482223,-0.4869587,-0.013624268,-0.64977473
IZRFk9kN,-0.110501386,-0.123525776,-0.028502598,-0.41738474,-0.25520223
Iaq3v0t3,0.5272622,0.7400549,1.5892005,-0.59474885,0.05755571
IbVwu1t6,-0.4521357,-0.27219874,-1.2498494,0.12490965,-0.14027247
IcHKTLyo,-0.14634138,0.12727746,0.030571956,0.3351192,-0.49988472
IpW80wVB,-0.41204032,-0.23583135,-0.90693367,0.09513594,0.11949451
Itb0PYUV,1.2937336,0.04795306,1.8967519,1.2491214,-0.7180115
J8fpSwS0,-0.45894295,0.0795692,-0.3295573,-0.6193862,0.72646767
JE1SlbD0,0.36923158,0.51626176,0.3741059,1.907412,-1.0305256
JEB4McNb,0.6716215,-0.15221748,1.1421918,-0.23421393,-1.1117084
JEE4QVeQ,-0.112290695,0.42280897,0.28242645,-0.44214922,-0.71221054
JJSEU2VQ,-0.42983568,0.0032882076,-0.28739387,-0.5527779,0.8933485
JSsVriP2,0.09958165,-0.18319547,0.81003183,-0.63498724,-0.23216677
JUvQNiOK,-0.04057174,-0.16131161,0.55264175,-0.36344108,0.17953193
JZbrRtm2,0.0044567846,0.9712845,1.1745713,-0.5688589,-0.0039784424
JcE9G92B,-0.19052958,0.01362052,-0.14516376,0.5400281,-0.8208113
JnNYpXHr,0.29837725,1.9557543,0.20741796,1.3265026,-1.0377879
JzpbnOtz,-0.43981683,0.14936323,-0.39338332,-0.56106716,0.5669542
JzzUhPQp,1.6979808,1.2052803,2.0043612,-0.28242415,-0.65262437
K05R8dQK,-0.3705922,-0.2146087,-0.99110293,0.4225189,-0.7342551
K17pG2mG,-0.35644835,0.49152693,0.91658473,-0.63605595,0.7192971
K8BellUe,-0.077656835,-0.28295687,-0.08233129,-0.07752528,-1.0627854
KJ2eH6rr,0.01652084,-0.06350891,0.26210988,-0.06338461,-1.1431247
KJEJ6Glk,0.30699646,-0.0798214,0.23128642,1.42609,-1.0996933
KSbO0oXS,0.40358406,1.555404,0.54948175,1.1913373,-0.8201397
KXtvmd01,-0.42050996,-0.27307343,-0.19052409,-0.5754688,0.70094657
KYiJqBuJ,-0.0806654,-0.21820526,0.39746574,-0.30115467,-0.64608055
KmbAyTcE,-0.18803939,-0.09821267,-0.048508815,-0.35336357,0.0019500963
KnNyl3rV,-0.123220876,-0.12025041,0.77595824,-0.4934352,0.61396575
Kp2DG8TZ,-0.21871927,-0.25224108,0.8835195,-0.7582036,0.34495404
KqQtKWs5,-0.27055785,-0.28084236,0.12836444,-0.64331836,0.70672405
Ku27g63R,2.6722186,1.0306234,2.0532699,2.1272547,-0.63121414
L2aTVqDq,-0.3566935,-0.25634152,-1.0130014,0.55461466,-0.41711006
L5jvq6G4,-0.34461513,-0.04334388,0.16489944,-0.72012967,0.83386767
L91hYVQl,-0.30833465,0.0769041,-0.06956777,-0.7459878,0.03049253
LINAMlbA,-0.38537323,0.11755723,-0.41253403,0.44411168,0.17794093
LJoUNXSx,-0.52561826,-0.002542019,-1.2361486,0.2951865,-0.19570097
LLtSiyWD,-0.42246234,-0.28887135,-0.45244527,-0.58739233,-0.22742333
LQJtV8kn,-0.168148,-0.1135519,0.23995407,-0.3231005,-0.7937978
LW9uddw7,-0.42907524,0.15218772,-1.0819523,0.81337893,-0.73988104
LZ6sdBTR,0.4182964,1.3959045,1.4095122,0.48752868,-0.5859386
La2Vhnne,0.18469056,0.22676945,0.109173305,0.76102024,-0.23807105
LaUWSq9B,-0.050497975,-0.014537007,0.12603638,0.6274448,-1.2195411
Lk4SfkPQ,-0.38702375,-0.22437641,-0.35898498,0.13301212,-0.78070945
LllC836d,-0.36735487,-0.20662516,-0.84573615,0.071794845,0.3420959
LuGiGeWN,-0.4312907,-0.039631702,-0.20816794,0.12492743,0.25633693
LzcyHcWa,-0.43381447,-0.047172423,-0.13899279,-0.5647717,0.9242998
M7veP0H4,-0.38476342,-0.20474291,-0.056473132,-0.28597155,0.7426715
MB8aaJUc,-0.31829837,0.30041516,-0.88323164,0.5112093,-0.026102312
MDpe2zuy,-0.4498223,-0.22240347,-0.40754783,-0.24416445,-0.63373613
MEzdmEIU,-0.40177917,-0.21236548,-0.23064522,-0.4260702,-0.03796038
MVnhtivm,-0.41254997,-0.34335428,-0.9390011,0.050746992,-0.34164453
MYU7WDis,-0.22895984,0.087247655,0.9369674,-0.718932,0.2074342
MZFqh6yw,1.1167753,0.2705764,1.96158,-0.4471435,0.14538915
Mdgy4SsO,0.30901325,0.6567005,0.12160024,1.1698432,-0.6014388
Mj8awnzy,-0.32922786,-0.20762458,0.61252904,-0.5917631,0.80471694
MpFPbUJy,1.462201,0.49785545,1.8914937,1.1702443,-0.8481375
Mqk7MFBM,-0.40835914,0.16795851,0.20638631,-0.6446123,0.5975917
Mqs2t1Eo,-0.39195305,-0.25226212,-0.49484935,-0.21584679,-0.6818749
Mv3jFVxp,-0.3267238,-0.17564522,-0.3704261,-0.15490057,0.31132466
MxODTXvA,0.87121046,0.29223025,0.7720139,0.20397541,-0.3661953
N46PbpPM,-0.43417042,0.016439654,0.32399127,-0.6961245,1.5228176
N5S5F9Gk,-0.39884007,0.040349387,-0.26827276,0.13299616,0.33932582
NLDg5fqw,0.45604402,-0.015691843,0.76101846,0.048633948,0.32223746
NOho2ZiM,1.6594658,0.01782858,1.810327,0.44059414,-0.66614604
NUuY7PFU,1.1949189,0.17170213,1.9050875,1.6363626,-0.76994216
NV1e8AEO,-0.40048295,0.17314552,-0.04771152,-0.47081983,0.96082723
NZLXROKC,0.12673865,-0.01663466,0.47511703,0.48221785,-0.5246589
NaJo7C6o,0.11491598,-0.09179711,0.5257184,0.119279444,-0.32832664
NgsyGkrO,0.114266746,-0.06435885,0.14775556,0.2486403,-0.91302305
NjOx4Zpo,-0.4483929,-0.302948,-1.071656,0.6064012,-1.2147317
NmQoI7x0,1.2587916,-0.006083142,1.4938625,-0.3098718,-1.0377941
No4wkdLS,-0.33855063,-0.340199,0.3007885,-0.6675223,0.15626977
NouMwhOf,-0.21996446,-0.32952237,-0.1285289,-0.081181064,-0.71587634
O6YAWd8C,-0.16992189,-0.20826367,0.34669876,-0.26079372,-0.68122625
OAXVphSh,0.4422528,-0.06301199,0.6506627,0.086772546,-0.4467165
OJBBhb6Q,-0.36534587,-0.31727287,0.10807967,-0.77722955,1.3642435
OSIQXImL,0.11403899,-0.22679904,0.20107481,0.15750608,-1.0931516
OUUFc5Zz,-0.44407716,-0.16135974,-0.3542415,-0.5800465,0.73802894
OVk1lquT,0.09506937,1.4758533,0.21532848,1.0556444,-0.38398594
OXdRxjzz,-0.43852386,-0.34386826,-1.0820252,0.20767646,-0.40609807
OXxW2ekf,-0.36017197,-0.120531365,-0.26956126,-0.3479535,-0.039156213
OXz5OpqR,-0.11942334,0.28710955,0.44670168,-0.23104748,-0.13026951
OcBFW1AX,-0.33260348,0.07585109,-0.35538763,0.4155742,0.2376225
Of9V2rpt,-0.19013703,0.031036694,0.4054519,0.0124532245,-0.077565655
OfLxPhbG,-0.075022645,0.050405495,0.06123307,-0.22864008,0.104071006
Ojx2vi48,-0.33383527,-0.32318732,-0.13212007,-0.66318446,0.6440103
P3M32iuT,-0.332682,0.04196558,-0.118549384,-0.75994456,0.83506966
P7olVzrO,-0.46781442,-0.23390941,-0.47732958,-0.3945939,-0.045430955
PAPHErnv,-0.5412439,-0.31079376,-1.2859468,0.5727757,-0.41746402
PBjEtfXb,-0.3155718,0.42879033,-0.015853921,-0.48080686,0.6987219
PZGpoBBj,1.5758431,0.6771749,1.8123083,-0.37421685,-0.6359927
Pc2RrxXS,-0.44363183,-0.2776686,-0.34367934,-0.37222156,-0.6540084
PcHQ4FOu,-0.33765987,-0.03208619,-0.34692046,0.21398044,-0.5248847
PeNyTOVN,-0.21531582,0.1595287,-0.18960033,-0.33840963,0.09433316
PhUPSU53,-0.4099825,-0.1768873,-0.6152459,-0.20210838,-0.20246112
PmUNeV2O,-0.36423695,-0.37966004,-0.09897967,-0.6968994,0.5677246
PoDJ0uvK,1.415172,0.87366235,1.7299091,1.0637963,-0.53798187
PsUJdJdg,-0.17573309,-0.1330339,-0.19391733,0.31464648,-0.37270728
Q3xLFx1f,-0.3831355,-0.26684612,-1.0248293,0.04821347,-0.58670926
QBGxCvdM,-0.007304197,-0.29251403,0.20287211,-0.19965357,-0.7478728
QCEPyu6L,-0.47161454,-0.32303888,-0.9410583,0.17575362,-0.6191743
QEfwec4s,2.9364815,0.44897437,1.8351833,2.1131277,-0.45337224
QZ87Nnr3,-0.43827796,-0.21196847,-0.09842247,-0.5584776,0.6707486
QlyGN9jv,-0.3963253,0.33766413,-0.30228,-0.41234437,0.71181846
QqgWE1ny,-0.2928869,0.067703724,-0.08775644,0.3398377,-0.46730268
QrjjBpZd,-0.46000618,1.1542435,-1.1402041,0.89767313,-0.72804487
QsaBiX7V,-0.3342623,-0.005973207,0.011446262,0.07592642,-0.4265992
QtBKJuZk,-0.34510484,-0.19225118,-0.14046359,-0.46179435,-0.04897899
QtPRO8OJ,-0.46090505,-0.30270728,-0.5043022,-0.60974807,0.43951565
R8XcsFnp,-0.3264305,0.052718252,0.14426145,-0.08297611,0.66915
RROfRt9z,-0.20369303,-0.22194935,0.05218377,0.11155662,-0.95251966
RTcbiDGq,-0.42171618,-0.39935476,-0.26823425,-0.4785387,-0.2009131
RVidM9g0,-0.21070352,0.48733133,1.2206621,-0.60872406,0.4407678
RZnQSH19,-0.44339186,0.048908856,0.4083575,-0.69359326,0.8902773
